,10,基层法治工作薄弱
Q19,您认为，法律存在的根本目的是,多选题
,本题选项:,
,3,构建理想社会的一种手段
,4,保护和扩大个体自由
,5,预防犯罪，制裁犯罪
,6,由国家按统治阶级的利益制定或认可，并由国家强制力保证实施的规范综合
Q20,您认同中国的裁军政策吗？,单选题
,本题选项:,
,1,认同，有助于减少国家军费开支
,2,认同，有助于提高军队素质
,3,不认同，会削弱国家军力
,4,不认同，会影响国家发展
Q21,您认为中国与其他国家发生争端的主要原因是？,多选题
,本题选项:,
,3,意识形态
,4,经济利益
,5,领土争端
Q22,下列关于社会主义和共产主义的说法您认为正确的是？,单选题
,本题选项:,
,3,社会主义思想包含共产主义思想
,4,共产主义思想包含社会主义思想
,5,社会主义思想和共产主义思想是相同的
,6,社会主义社会是共产主义社会的初级阶段
Q23,据您了解,矩阵单选题
,本题选项:,
,3,按资本分配
,4,按劳动价格分配
,5,按劳分配
,6,按需分配
Q24,请您判断,矩阵单选题
,本题选项:,
,1,是
,2,否
Q25,（可不填）您对本次调查以及我们的课题有何意见建议,填空题
,本题选项:,
,1,选项1
